id,name,slug,familyName,primaryCategory,difficulty,primaryMuscles,secondaryMuscles,movementPattern,forceType,mechanic,equipment,hictSuitable,smallSpace,quiet,cardioIntensive,strengthFocus,mobilityFocus,beginnerFriendly,minimalTransition,description,instructions,tips,commonMistakes,breathing,thumbnailUrl,gifUrl,videoUrl,defaultReps,defaultDurationSeconds,caloriesPerMinute,metValue,isVerified,popularityScore
c2f938f7-1bc7-41dd-b98c-d9935012117c,3/4 Sit-Up,3-4-sit-up,Crunch,core,beginner,"[""abdominals""]",[],anti-flexion,pull,compound,"[""bodyweight""]",True,True,True,False,True,False,True,True,Lie down on the floor and secure your feet. Your legs should be bent at the knees.,"[""Lie down on the floor and secure your feet. Your legs should be bent at the knees."",""Place your hands behind or to the side of your head. You will begin with your back on the ground. This will be your starting position."",""Flex your hips and spine to raise your torso toward your knees."",""At the top of the contraction your torso should be perpendicular to the ground. Reverse the motion, going only ¾ of the way down."",""Repeat for the recommended amount of repetitions.""]",[],[],,,,,,,,,True,0
6253be2f-14cb-48bd-a5be-80cb648e6437,90/90 Hamstring,90-90-hamstring,Stretch,mobility,beginner,"[""hamstrings""]","[""calves""]",static,push,,"[""bodyweight""]",True,True,True,False,False,True,True,True,"Lie on your back, with one leg extended straight out.","[""Lie on your back, with one leg extended straight out."",""With the other leg, bend the hip and knee to 90 degrees. You may brace your leg with your hands if necessary. This will be your starting position."",""Extend your leg straight into the air, pausing briefly at the top. Return the leg to the starting position."",""Repeat for 10-20 repetitions, and then switch to the other leg.""]",[],[],,,,,,,,,True,0
01e36b48-9a1b-4fbb-a4a7-95cd50935109,Ab Bicycles,ab-bicycles,Crunch,core,beginner,"[""abdominals""]","[""obliques"", ""hip flexors""]",rotation,pull,compound,"[""bodyweight""]",True,True,True,False,True,False,True,True,Lie on your back with hands behind head. Alternate driving each knee toward the opposite elbow in a pedaling motion. Also known as bicycle crunches.,"[""Lie on your back with hands behind head and legs elevated."", ""Drive one knee toward chest while rotating opposite elbow toward it."", ""Extend the other leg straight, hovering above ground."", ""Alternate sides in a pedaling motion.""]",[],[],,,,,,,,,False,0
2fa595bf-6f95-4b92-9760-b40144cb8c36,Ab Walk-Outs,ab-walk-outs,Walk-Out,core,beginner,"[""abdominals""]","[""shoulders"", ""hamstrings""]",anti-extension,push,compound,"[""bodyweight""]",True,True,True,False,True,True,True,True,"From standing, hinge forward, walk hands to plank, pause, walk back and stand.","[""Stand tall, hinge at hips, place hands on floor."", ""Walk hands out to full plank position."", ""Pause briefly."", ""Walk hands back toward feet, return to standing.""]",[],[],,,,,,,,,False,0
7d649711-3f87-49c0-a4ba-eebd06fe2c84,Advanced Planks,advanced-planks,Plank,core,intermediate,"[""abdominals""]","[""shoulders"", ""glutes""]",anti-extension,static,compound,"[""bodyweight""]",True,True,True,False,True,False,False,True,"Plank progressions that increase difficulty through extended lever arms, narrow base, elevated feet, or limb lifts.","[""Set up in a standard plank."", ""Apply one or more progressions: extend hands further, elevate feet, narrow base."", ""Hold with maximum tension."", ""Focus on short, intense holds.""]",[],[],,,,,,,,,False,0
c07f14bd-34ec-480b-815e-c32be31ef00b,Air Bike,air-bike,Crunch,core,beginner,"[""abdominals""]",[],rotation,pull,compound,"[""bodyweight""]",True,True,True,False,True,False,True,True,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position.","[""Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position."",""Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position."",""Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out."",""Go back to the initial position as you breathe in."",""Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale."",""Continue alternating in this manner until all of the recommended repetitions for each side have been completed.""]",[],[],,,,,,,,,True,0
260de497-c885-4808-90de-0e0535110949,All Fours Quad Stretch,all-fours-quad-stretch,Stretch,mobility,intermediate,"[""quadriceps""]","[""quadriceps""]",static,static,,"[""bodyweight""]",True,True,True,False,False,True,False,True,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.","[""Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand."",""Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors."",""Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides.""]",[],[],,,,,,,,,True,0
98dbe77e-c5d6-4e9d-8c8a-7b599374a3d6,Alternate Heel Touchers,alternate-heel-touchers,Crunch,core,beginner,"[""abdominals""]",[],lateral-flexion,pull,isolation,"[""bodyweight""]",True,True,True,False,True,False,True,True,Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.,"[""Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position."",""Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement."",""Now go back slowly to the starting position as you inhale."",""Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition."",""Continue alternating sides in this manner until all prescribed repetitions are done.""]",[],[],,,,,,,,,True,0
94032d3b-cbfb-4e5d-a8dd-1ca40cf5ffad,Alternating Jump With Reaches,alternating-jump-with-reaches,Jump,plyometric,intermediate,"[""quadriceps""]","[""glutes"", ""shoulders"", ""calves""]",squat,push,compound,"[""bodyweight""]",True,True,False,True,True,False,False,True,"Jump upward while reaching one arm overhead, alternating arms each rep.","[""Stand with feet shoulder-width apart."", ""Jump upward reaching one arm overhead."", ""Land softly with bent knees."", ""Jump again reaching the opposite arm.""]",[],[],,,,,,,,,False,0
678de840-45df-4eda-bbf8-de5baeca0e0d,Alternating Side Plank Holds,alternating-side-plank-holds,Plank,core,intermediate,"[""obliques""]","[""shoulders"", ""glutes""]",anti-lateral-flexion,static,compound,"[""bodyweight""]",True,True,True,False,True,False,False,True,"Rotate between a standard plank and side planks on each side, holding briefly in each position.","[""Start in a forearm plank."", ""Rotate to a side plank on one side, hold 2-3 seconds."", ""Return to center plank."", ""Rotate to the other side.""]",[],[],,,,,,,,,False,0
